,index,Geslacht,Persoonskenmerken,RegioS,RegioNaam,Perioden,Personen_1,aantal_persoonlijk_inkomen,AandeelPersonen_3,Gem_standaardiseerd_besteedbaar_inkomen,Mediaan_standaardiseerd_besteedbaar_inkomen,GemiddeldPersoonlijkInkomen_6,MediaanPersoonlijkInkomen_7
97,3827,Vrouw,25_tot_45,GM0537,Katwijk,2020,8000,7600,25,34100,31900,28500,26000
98,3853,Vrouw,25_tot_45,GM0546,Leiden,2020,17700,16800,29,34100,31300,37100,34300
99,3855,Vrouw,25_tot_45,GM0547,Leiderdorp,2020,2900,2800,21,36600,34900,36700,33600
100,3857,Vrouw,25_tot_45,GM1916,Leidschendam-Voorburg,2020,9400,8700,24,37700,34700,40100,35300
101,3867,Vrouw,25_tot_45,GM0553,Lisse,2020,2500,2400,22,34900,32900,0,29400
102,3935,Vrouw,25_tot_45,GM0575,Noordwijk,2020,4700,4500,22,36900,32600,33400,29200
103,3941,Vrouw,25_tot_45,GM0579,Oegstgeest,2020,2700,2600,22,42800,38500,46600,39400
104,4077,Vrouw,25_tot_45,GM1525,Teylingen,2020,4100,4000,22,37300,34200,35500,31800
105,4151,Vrouw,25_tot_45,GM0629,Wassenaar,2020,2200,1900,16,0,35400,0,32900
106,4201,Vrouw,25_tot_45,GM0473,Zandvoort,2020,1800,1700,21,0,30500,0,28200
107,4211,Vrouw,25_tot_45,GM0638,Zoeterwoude,2020,900,900,22,0,0,0,0
108,4243,Vrouw,45_tot_65,GM0484,Alphen aan den Rijn,2020,15500,13900,28,40000,35900,33800,28600
109,4307,Vrouw,45_tot_65,GM0377,Bloemendaal,2020,3600,3100,31,74900,45400,52100,37000
110,4447,Vrouw,45_tot_65,GM0392,Haarlem,2020,21600,20000,27,40100,34200,38900,31700
111,4449,Vrouw,45_tot_65,GM0394,Haarlemmermeer,2020,23200,21300,30,42400,37500,37300,31000
112,4465,Vrouw,45_tot_65,GM0397,Heemstede,2020,3900,3500,28,53600,42400,48300,37400
113,4497,Vrouw,45_tot_65,GM0534,Hillegom,2020,3200,2900,29,39200,34900,33100,28100
114,4525,Vrouw,45_tot_65,GM1884,Kaag en Braassem,2020,4100,3700,31,43200,37500,33900,27800
115,4531,Vrouw,45_tot_65,GM0537,Katwijk,2020,8600,7300,26,39100,35300,27700,23000
116,4557,Vrouw,45_tot_65,GM0546,Leiden,2020,15000,13700,24,38500,34000,39400,31600
117,4559,Vrouw,45_tot_65,GM0547,Leiderdorp,2020,4000,3600,29,41200,37100,37600,31000
118,4561,Vrouw,45_tot_65,GM1916,Leidschendam-Voorburg,2020,10700,9700,28,41600,36000,40900,33600
119,4571,Vrouw,45_tot_65,GM0553,Lisse,2020,3400,3100,29,40400,35200,31500,27000
120,4639,Vrouw,45_tot_65,GM0575,Noordwijk,2020,6400,5800,30,46000,36000,35000,28400
121,4645,Vrouw,45_tot_65,GM0579,Oegstgeest,2020,3600,3200,29,51500,41300,48900,38900
122,4781,Vrouw,45_tot_65,GM1525,Teylingen,2020,5600,5100,31,45600,38300,36300,30000
123,4855,Vrouw,45_tot_65,GM0629,Wassenaar,2020,4100,3300,30,70500,39200,53500,32300
124,4905,Vrouw,45_tot_65,GM0473,Zandvoort,2020,2600,2400,30,44300,33000,0,27800
125,4915,Vrouw,45_tot_65,GM0638,Zoeterwoude,2020,1300,1200,30,0,39000,0,29600
126,4947,Vrouw,65_en_ouder,GM0484,Alphen aan den Rijn,2020,11000,10900,20,31500,26600,20400,16800
127,5011,Vrouw,65_en_ouder,GM0377,Bloemendaal,2020,3100,3100,27,49600,35500,26700,19800
128,5151,Vrouw,65_en_ouder,GM0392,Haarlem,2020,14600,14600,18,28500,25200,22800,19200
129,5153,Vrouw,65_en_ouder,GM0394,Haarlemmermeer,2020,13500,13400,17,30500,27100,21400,17300
130,5169,Vrouw,65_en_ouder,GM0397,Heemstede,2020,4000,4000,29,37200,31700,26900,20800
131,5201,Vrouw,65_en_ouder,GM0534,Hillegom,2020,2300,2300,21,0,26100,0,17000
132,5229,Vrouw,65_en_ouder,GM1884,Kaag en Braassem,2020,2800,2800,21,31300,26400,19200,16000
133,5235,Vrouw,65_en_ouder,GM0537,Katwijk,2020,6100,6100,19,29100,25100,18600,16000
134,5261,Vrouw,65_en_ouder,GM0546,Leiden,2020,9800,9800,16,29800,25400,23000,18400
135,5263,Vrouw,65_en_ouder,GM0547,Leiderdorp,2020,3400,3400,25,31200,28300,23300,19100
136,5265,Vrouw,65_en_ouder,GM1916,Leidschendam-Voorburg,2020,9300,9300,24,31300,27100,23900,19500
137,5275,Vrouw,65_en_ouder,GM0553,Lisse,2020,2700,2700,24,31100,25400,20400,17000
138,5343,Vrouw,65_en_ouder,GM0575,Noordwijk,2020,4800,4700,22,34200,26900,21000,16700
139,5349,Vrouw,65_en_ouder,GM0579,Oegstgeest,2020,2700,2700,22,38700,33600,27300,21100
140,5485,Vrouw,65_en_ouder,GM1525,Teylingen,2020,3600,3600,20,33300,27700,21400,17100
141,5559,Vrouw,65_en_ouder,GM0629,Wassenaar,2020,3500,3500,26,46000,31100,27800,18400
142,5609,Vrouw,65_en_ouder,GM0473,Zandvoort,2020,2400,2400,27,0,26200,0,18000
143,5619,Vrouw,65_en_ouder,GM0638,Zoeterwoude,2020,900,900,21,0,0,0,0
