Geslacht;Leeftijd;LeeftijdNaam;BurgerlijkeStaat;RegioS;RegioNaam;Perioden;BevolkingOp1Januari_1
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0537;Katwijk;2021;706
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0546;Leiden;2021;1072
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0547;Leiderdorp;2021;248
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM1916;Leidschendam-Voorburg;2021;717
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0553;Lisse;2021;217
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0575;Noordwijk;2021;389
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0576;Noordwijkerhout;2021;0
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0579;Oegstgeest;2021;252
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM1525;Teylingen;2021;354
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0629;Wassenaar;2021;174
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0473;Zandvoort;2021;122
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0638;Zoeterwoude;2021;90
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0484;Alphen aan den Rijn;2021;1115
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0377;Bloemendaal;2021;110
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0392;Haarlem;2021;1817
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0394;Haarlemmermeer;2021;1551
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0397;Heemstede;2021;227
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0534;Hillegom;2021;213
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM1884;Kaag en Braassem;2021;262
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0537;Katwijk;2021;706
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0546;Leiden;2021;1072
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0547;Leiderdorp;2021;248
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM1916;Leidschendam-Voorburg;2021;717
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0553;Lisse;2021;217
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0575;Noordwijk;2021;389
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0576;Noordwijkerhout;2021;0
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0579;Oegstgeest;2021;252
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM1525;Teylingen;2021;354
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0629;Wassenaar;2021;174
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0473;Zandvoort;2021;122
TotaalManVrouw;10010;0 jaar;Ongehuwd;GM0638;Zoeterwoude;2021;90
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0484;Alphen aan den Rijn;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0377;Bloemendaal;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0392;Haarlem;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0394;Haarlemmermeer;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0397;Heemstede;2021;0
